"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","760
005","72","3.875","84.7","8.3","5.6",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","760
006","78","3.840","83.3","7.7","5.1","1.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","760
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","152","3.858","84.2","7.9","5.3","0.7","2.0",".",".",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","8","3.792","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1461","3.606","53.7","21.4","18.1","5.1","1.4",".","0.2","0.1",".",".",".",".",".",".",".","."
