"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","80","3.538","47.5","13.8","37.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","79","3.810","65.8","30.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Infctious Disease Pathobiol","001","","80","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","80","3.388","23.8","38.8","30.0","6.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","80","3.644","45.0","38.8","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","25","4.000","92.0",".",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"675
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790
Immunol-Infectious Disease","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Veterinary Sci Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920
Thesis Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 398 of 405",""
