"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","113","3.707","58.4","28.3","9.7","0.9",".",".","0.9","0.9",".",".",".",".","0.9",".",".","."
"Women-Soc Inst & Soc Change","102","001","149","3.476","49.0","26.8","10.7","6.7","1.3","1.3","2.7","0.7",".",".",".",".",".",".",".","0.7"
"","103","001","403","3.629","53.8","30.0","9.9","3.5","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"","103","002","39","3.077","12.8","25.6","41.0","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","","Course Total","442","3.580","50.2","29.6","12.7","4.1","2.5","0.2","0.7",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","92","3.217","33.7","16.3","22.8","19.6","2.2","1.1","2.2","2.2",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","11","3.100","36.4","9.1",".","27.3","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","31","2.984","35.5","12.9","16.1","3.2","25.8","3.2","3.2",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","26","3.019","34.6","3.8","38.5",".","15.4","3.8","3.8",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Humanities","310","001","36","3.343","38.9","22.2","25.0",".","8.3",".","2.8",".",".",".",".",".",".",".","2.8","."
"Topics - Women & Society","320","002","37","3.343","45.9","8.1","16.2","13.5","10.8",".",".",".",".",".",".",".","5.4",".",".","."
"Black Women in America","324","001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","22","3.676","63.6","9.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".","9.1",".","."
"Women in History","392","001","34","3.004","11.8","17.6","35.3","23.5","8.8",".",".",".",".",".",".",".",".","2.9",".","."
"Women and the Law","422","001","32","3.375","31.3","34.4","18.8","9.4","6.3",".",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","30","3.350","33.3","30.0","26.7","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"Women in Turkish Society","472","001","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Spec Topics-Women & Health","533","001","54","3.815","75.9","22.2",".",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","37","3.714","48.6","37.8","8.1",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","29","3.795","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","11","3.182","72.7",".","9.1",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"Internship-Women's Studies","660","001","15","3.600","60.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis II","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","3.862","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Rsch in Women's/Gender Studies","900","001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","","Course Total","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
