"","490
029","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","490
031","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics in Nursing","Course Total","23","3.734","60.9","30.4","4.3","4.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RN's","519
001","9","3.895","77.8","22.2",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"CNP
691","Dept. Total","115","3.724","61.7","29.6","5.2","2.6","",".","",".","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.748","57.6","36.4","3.0","3.0","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","80","3.708","62.5","27.5","6.3","2.5","",".","",".","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","115","3.724","61.7","29.6","5.2","2.6","",".","",".","0.9","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","115","3.724","61.7","29.6","5.2","2.6","",".","",".","0.9","",".","",".",".","",".","",".","",".",".",".","."
