"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Intro-Pharm Care Clrkshp II","426
001","134","3.843","73.9","25.4",".",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"Therpeutcs-PAs&Adv Prac Nur,II","441
001","33","3.106","6.1","42.4","27.3","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
003","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
006","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
008","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","108","3.939","86.1","9.3","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk IV","526
056","129","3.961","96.9",".","2.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","132","2.989","1.5","28.8","42.4","23.5","3.0",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","132","3.504","36.4","28.0","35.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","122","3.262","12.3","40.2","36.1","10.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk VI","626
056","121","3.727","74.4",".","24.0",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650
001","82","3.354","28.0","29.3","29.3","12.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656
001","121","3.281","19.0","43.0","21.5","11.6","4.1",".","0.8",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","664
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","16","3.815","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","672
001","25","3.600","48.0","32.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","672
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","29","3.574","41.4","31.0","17.2",".","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","710
001","35","3.700","48.6","42.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
005","25","3.819","76.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","46","3.869","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
005","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
