"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","19","3.579","68.4","10.5","5.3","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","210","3.641","61.9","21.9","9.0","1.9","2.9","0.5","1.4","0.5",".",".",".",".",".",".",".","."
"","401
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
004","","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","12","3.952","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","14","3.856","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
016","","8","3.757","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","98","3.941","89.8","9.2","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","","24","3.688","58.3","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","","99","3.808","69.7","23.2","6.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","216","3.478","33.8","36.1","20.8","3.2","0.9","0.9","0.5","3.7",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","114","3.746","68.4","21.9","4.4","4.4",".",".","0.9",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","23","3.761","69.6","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Social Work","579
002","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","51","3.720","60.8","19.6","17.6",".",".",".",".",".",".",".",".",".",".","2.0",".","."
"Social Wrk with Small Group","624
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","640
002","","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","60","3.907","81.7","15.0","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Soc Work & Devel Disabilities","644
001","","53","3.739","67.9","18.9","9.4","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","92","3.467","39.1","34.8","16.3","4.3","4.3",".","1.1",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","656
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","23","3.619","65.2","26.1","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","664
001","","26","3.927","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","682
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 298 of 405",""
