"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","40","3.838","77.5","12.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","77","3.182","23.4","27.3","27.3","14.3","5.2","1.3","1.3",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","52","3.683","61.5","19.2","13.5","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","37","3.081","27.0","8.1","35.1","18.9","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","321","001","","7","3.071","42.9",".","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","15","3.067","26.7","13.3","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","321","003","","15","3.100","20.0","6.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","37","3.081","27.0","8.1","35.1","18.9","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","39","3.128","20.5","20.5","41.0","5.1","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","39","3.628","33.3","59.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","29","3.690","48.3","41.4","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","53","3.217","32.1","18.9","22.6","17.0","7.5","1.9",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","38","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","14","2.571","21.4",".","28.6","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","","34","3.618","44.1","41.2","11.8",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","25","3.380","20.0","52.0","12.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Information Systems","617","001","","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","","36","3.653","58.3","19.4","19.4",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","8","3.214","12.5","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"Tools & Envirnmt-Optimizatn","635","001","","17","3.206","41.2","11.8","11.8","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","25","3.800","72.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","30","3.667","46.7","26.7","16.7",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","002","","22","3.477","54.5","27.3","4.5","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Topics in Human Factors","692","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","44","3.875","84.1","9.1","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Hlth Care:Eval&Assurnc","703","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
