"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","92","2.967","18.5","20.7","26.1","18.5","10.9","4.3","1.1",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425
001","150","3.977","96.0","3.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
008","114","3.960","96.5",".",".","2.6",".",".",".",".",".",".",".",".",".",".","0.9","."
"Select Topics-Pharmacy Prac","Course Total","156","3.958","95.5","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","0.6","."
"Intro-Phm Prac Experience III","525
033","125","3.908","93.6","4.0","0.8",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550
001","82","3.665","53.7","29.3","13.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553
001","125","3.944","90.4","8.0","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","125","3.076","17.6","20.8","35.2","15.2","10.4",".","0.8",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638
001","129","3.589","41.9","41.9","13.2","1.6","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653
001","128","3.977","96.1","3.1","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","128","3.215","18.8","29.7","30.5","18.0","3.1",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
072","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","26","3.692","57.7","26.9","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","740
004","28","3.661","67.9","3.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","54","3.676","63.0","14.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
741","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","51","3.941","90.2","7.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
003","83","3.669","57.8","26.5","10.8","3.6",".","1.2",".",".",".",".",".",".",".",".",".","."
"","004
760","75","3.770","69.3","16.0","12.0",".","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","760
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
104","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","161","3.716","62.1","21.7","11.2","1.9","0.6","0.6",".",".",".",".",".",".","1.9",".",".","."
"Vet Pharmacy Clerkship","764
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Sem Hlth-System Pharmacy","961
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","Page 408 of 421",""
