"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","191","3.445","39.8","26.7","23.6","4.7","4.7",".","0.5",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","149","3.369","30.9","28.9","25.5","12.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","149","3.728","65.8","16.8","14.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","001","","148","3.571","52.7","20.3","18.2","4.1","4.1",".",".",".",".",".",".",".","0.7",".",".","."
"521","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacology I","Course Total","","153","3.556","52.3","19.6","18.3","3.9","3.9","0.7",".",".",".",".",".",".","1.3",".",".","."
"540
Drug Delivery Systems","001","","127","3.209","21.3","18.9","42.5","15.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","125","3.884","84.0","10.4","4.8",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","24","3.500","8.3","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","144","3.674","49.3","36.8","13.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","5.9",".","5.9","."
"768
Pharmacokinetics","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 405 of 421",""
