"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","209","3.050","29.2","12.4","31.1","8.1","12.0","5.7","1.0","0.5",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","63","3.286","23.8","36.5","25.4","7.9","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","640
001","24","3.500","50.0","29.2","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","640
002","21","3.357","38.1","23.8","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","Course Total","45","3.433","44.4","26.7","13.3","6.7","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","24","3.542","33.3","45.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","34","3.176","20.6","29.4","17.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","655
002","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","Course Total","52","3.298","28.8","28.8","19.2","19.2","3.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","24","3.500","37.5","33.3","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Rdg & Rsch-Risk Management","799
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","450","3.234","34.7","21.1","23.6","8.4","7.1","3.3","0.4","1.1",".",".",".",".","0.2",".",".","."
