"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"929","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"929","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pediatrics","Course Total","","4","***","","","","","","","","","","","","","","","",""
"931","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Psychiatry","Course Total","","2","***","","","","","","","","","","","","","","","",""
"934","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","11","3.779","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","","17","3.858","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"936","042","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","043","","10","3.722","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"936","044","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","","28","3.704","42.9","50.0","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"937","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramural Elect-Intl Health","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953
TRIUMPH II: Milwaukee","010","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"955
TRIUMPH III: Leadership","044","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SR MED
882","Dept. Total","","199","3.576","38.2","29.6","13.6","1.0",".",".",".","15.6",".",".",".",".","1.0",".","1.0","."
