"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Clinical & Translational Rsch","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Research and Independent Study","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","11","3.656","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-Madison","Course Total","","12","3.400","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-Appleton","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922
Clrkshp Family Med-EauClaire","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926
Clrk Fam&Comm Med-Native Am","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp:Rural & Community Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-St Lukes","Course Total","","3","***","","","","","","","","","","","","","","","",""
"933
Sports Medicine","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"St Mary's Fam Med Sub-Intrnshp","Course Total","","4","***","","","","","","","","","","","","","","","",""
"937","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fam Medicine UW Hospital Sub-I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"938
Hospice & Palliative Care","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Community Care of the Elderly","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 350 of 421",""
