"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","",""
"","699
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
699","","11","3.828","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurg-Directed Study","Course Total","","45","3.958","93.3","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"NEURSURG
678","Dept. Total","","47","3.960","93.6","4.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
