"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","165","2.767","18.2","10.9","22.4","13.9","29.7","4.2","0.6",".",".",".",".",".",".",".",".","."
"","100","002","159","2.849","22.0","8.2","28.9","9.4","27.0","3.8","0.6",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","324","2.807","20.1","9.6","25.6","11.7","28.4","4.0","0.6",".",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","115","2.824","23.5","7.0","27.8","4.3","28.7","2.6","2.6","3.5",".",".",".",".",".",".",".","."
"","104","001","446","3.181","9.0","46.6","27.8","9.2","5.4","1.1","0.7",".",".",".",".",".",".",".",".","0.2"
"","104","002","443","3.217","13.8","42.2","27.5","11.5","3.4","0.7","0.9",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","889","3.199","11.4","44.4","27.7","10.3","4.4","0.9","0.8",".",".",".",".",".",".",".",".","0.1"
"Principles - Biological Anthro","105","001","333","3.656","61.3","18.3","15.0","3.6","0.6","1.2",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","56","3.330","58.9","8.9","12.5","3.6","8.9","1.8","5.4",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","19","3.368","15.8","52.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","54","2.962","7.4","20.4","33.3","27.8","7.4",".",".",".",".",".",".",".","1.9",".","1.9","."
"Intro Ling-Descript&Theoret","301","001","10","3.500","50.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","9","3.056","44.4","11.1","11.1",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Urban Anthropology","307","001","16","3.367","25.0","31.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","310","001","17","3.533","58.8","17.6",".","5.9",".",".","5.9","5.9",".",".",".",".","5.9",".",".","."
"","310","002","6","3.167","50.0","16.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","310","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","28","3.500","57.1","21.4",".","7.1",".","3.6","3.6","3.6",".",".",".",".","3.6",".",".","."
"Indians of North America","314","001","52","2.714","15.4","9.6","23.1","17.3","23.1","1.9","3.8",".",".",".",".",".",".",".","5.8","."
"Emergence of Human Culture","321","001","42","2.725","26.2","4.8","28.6","4.8","19.0","2.4","9.5","2.4",".",".",".",".","2.4",".",".","."
"Anthropology of Religion","343","001","24","3.920","70.8","12.5",".",".",".",".",".","4.2",".",".",".",".",".","12.5",".","."
"Political Anthropology","350","001","21","3.738","42.9","47.6",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Intro-Anthropology of Japan","357","001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Field Course in Archaeology","370","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","24","2.896","29.2","8.3","33.3","12.5",".","12.5","4.2",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","23","3.857","69.6","17.4","4.3",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Language and Culture","430","001","13","3.525","30.8","38.5","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"American Indian Women","437","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Symbolic Anthropology","456","001","11","3.946","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","12","3.583","58.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","490","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","15","3.133","26.7","33.3","13.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","41","3.537","43.9","41.5","4.9","7.3",".",".","2.4",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","19","3.722","63.2","10.5","21.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Problems in Anthropology","690","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","696","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2016","","","","","","","","","","","","","","","","","","","Page 169 of 421",""
