"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Therapeutic Strategies II","358","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","60","3.542","48.3","28.3","13.3","6.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds of Tchng Dance Gymnastcs","371","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods Teach Sport Concepts","373","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clinical Assessment in AT","417","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","46","3.946","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","66","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","23","3.841","65.2","30.4",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Nutrition, Fitness and Health","525","001","","51","3.080","13.7","21.6","37.3","17.6","7.8",".",".",".",".",".",".",".","2.0",".",".","."
"Prin. Strength & Conditioning","527","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neural Basis for Movement","721","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer","773","001","","19","3.342","26.3","21.1","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
