"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","189","3.437","27.5","48.7","16.4","2.6","3.2","1.1","0.5",".",".",".",".",".",".",".",".","."
"","125","001","25","3.820","76.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125","002","281","2.968","18.5","18.1","27.8","18.1","11.4","4.6","0.4","1.1",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","","Course Total","306","3.021","23.2","18.0","25.8","17.0","10.5","4.2","0.3","1.0",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","90","3.084","16.7","25.6","32.2","15.6","5.6","2.2","1.1",".",".",".",".",".",".",".","1.1","."
"","134","001","91","3.639","48.4","35.2","9.9","5.5",".",".",".",".",".",".",".",".","1.1",".",".","."
"","134","004","194","3.072","17.0","21.1","35.1","18.0","6.7","1.5","0.5",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","285","3.252","27.0","25.6","27.0","14.0","4.6","1.1","0.4",".",".",".",".",".","0.4",".",".","."
"","138","001","81","3.944","92.6","3.7",".","2.5",".",".",".",".",".",".",".",".","1.2",".",".","."
"","138","002","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","","Course Total","101","3.945","92.1","5.0",".","2.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"","140","001","14","3.000","21.4","28.6","14.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","140","002","13","2.808",".","15.4","69.2","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","","Course Total","27","2.907","11.1","22.2","40.7","11.1","7.4","3.7","3.7",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","140","2.809","12.9","21.4","21.4","19.3","18.6","2.9","2.9",".",".",".",".",".",".",".","0.7","."
"Population Problems","170","001","297","3.224","27.3","31.6","17.2","14.5","6.4","2.0","1.0",".",".",".",".",".",".",".",".","."
"Intro LGBTQ Studies","200","001","45","3.044","11.1","28.9","35.6","15.6","6.7",".","2.2",".",".",".",".",".",".",".",".","."
"Intercultural Dialogues","205","001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","130","3.031","13.1","36.9","26.9","10.8","5.4","3.1","3.8",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","83","2.933","14.5","28.9","25.3","10.8","10.8","6.0","2.4","1.2",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","42","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225","001","46","3.534","47.8","19.6","15.2","13.0",".",".",".","2.2",".",".",".",".","2.2",".",".","."
"Bascom Course","236","001","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.208","8.3","25.0","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","8","3.571","25.0","50.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","10","3.250","10.0","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","320","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","115","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","215","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Meth-Sociological Inquiry","357","001","102","3.574","48.0","29.4","15.7","2.0","2.9","1.0",".",".",".",".",".",".",".","1.0",".","."
"Stats for Sociologists I","360","001","52","3.029","23.1","23.1","15.4","21.2","15.4",".","1.9",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","31","3.339","35.5","29.0","12.9","12.9","9.7",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","97","2.835","20.6","13.4","34.0","11.3","7.2","9.3","4.1",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","54","3.065","31.5","14.8","24.1","13.0","9.3","5.6","1.9",".",".",".",".",".",".",".",".","."
"","475","002","19","2.895","21.1","15.8","31.6","5.3","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"","475","003","19","3.167","15.8","31.6","21.1","21.1","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","475","004","19","2.827","15.8","10.5","26.3","15.8","21.1","5.3",".",".",".",".",".",".","5.3",".",".","."
