"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","20","3.250","15.0","20.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","20","3.375","30.0","20.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","22","3.238","13.6","22.7","54.5","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5"
"3rd Year Obs & Gynecology","Course Total","","62","3.287","19.4","21.0","54.8","3.2",".",".",".",".",".",".",".",".",".",".",".","1.6"
"910
Indep Rdg & Rsch-4th Yr Med","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
