"POPULATION HEALTH SCIENCE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth","451","001","","16","3.900","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Air Pollution&Human Health","502","001","","61","3.607","42.6","39.3","16.4",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"QI in Low Resource Settings","504","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","11","3.500","27.3","36.4","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Toxicology I","625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","010","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","650","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","079","","43","3.791","74.4","9.3","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","47","3.824","76.6","8.5","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Preven of Overweight & Obesity","664","002","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","21","3.844","61.9",".","9.5",".",".",".",".","4.8",".",".",".","4.8","19.0",".",".","."
"Translat'l & Outcomes Research","709","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Med & PH","712","001","","77","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"International Health Systems","718","001","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Sys, Mngmnt, & Policy","785","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","787","002","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","787","004","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","","Course Total","","27","3.962","88.9","7.4",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Public Health Field Experience","788","001","","27","3.870","44.4","7.4","3.7",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"Biol Basis-Population Health","794","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Principles-Populatn Health Sci","795","002","","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Introduction to Epidemiology","797","005","","87","3.599","43.7","31.0","24.1",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Monitoring Population Health","803","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods 4","805","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem. Health Mental Health Econ","845","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
