"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","005","","9","3.222",".","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","006","","7","3.071",".","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","007","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","009","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","010","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","011","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","69","3.391","27.5","24.6","46.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
