"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Classical Soc Theory","","Course Total","","57","2.961","17.5","19.3","26.3","14.0","15.8","1.8","1.8",".",".",".",".",".","3.5",".",".","."
"","496","002","","30","3.034","13.3","20.0","46.7","6.7","3.3","6.7",".",".",".",".",".",".","3.3",".",".","."
"","496","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","004","","26","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","005","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","496","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","76","3.538","56.6","13.2","21.1","2.6","1.3","2.6",".",".",".",".",".",".","1.3",".",".","1.3"
"","530","001","","19","2.579","15.8","5.3","21.1","15.8","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"","530","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","004","","25","3.080","28.0","24.0","20.0","8.0","16.0",".","4.0",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","","45","2.919","24.4","15.6","20.0","11.1","22.2","4.4","2.2",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","12","3.125",".","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Talk and Social Interaction","535","001","","17","2.625","11.8","17.6","17.6","17.6","11.8","17.6",".",".",".",".",".",".","5.9",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","","17","3.265","23.5","41.2","29.4",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","15","3.267","33.3","20.0","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","16","3.219","25.0","25.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","24","3.429","33.3","20.8","25.0","4.2","4.2",".",".","12.5",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","16","3.500","43.8","12.5","31.3","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Sociology of the Family","640","001","","27","3.519","33.3","40.7","14.8","7.4",".",".",".",".",".",".",".",".","3.7",".",".","."
"Sociology of Education","648","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Population and Society","663","001","","20","3.550","50.0","15.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","670","001","","18","3.500","33.3","22.2","5.6","5.6","5.6",".",".","5.6",".",".",".",".",".",".","22.2","."
"Demographic Techniques I","674","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Persecution","678","001","","12","3.625","41.7","16.7",".",".","8.3",".",".","25.0",".",".",".",".","8.3",".",".","."
"Senior Thesis","691","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.731","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Intro Prosmr-Grad Students","700","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Talk as Social Organization","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EmethodologyConvAnalysis","735","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Seminar-Political Sociology","924","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Smr-Qualitative Methodology","955","001","","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
