"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","293","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.981","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Indiv 4th Yr Clin Clerkship","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"OPHTHALM
702","Dept. Total","","22","3.984","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
