"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"959","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
EM Elective - Basic","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961","041","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","042","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EMER MED
330","Dept. Total","","28","3.809","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
