"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAMILY MEDICINE","","Section
#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","53
Dept. Total","3.732","64.2","18.9","15.1","1.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Special","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Graduate","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Prof Yr 3","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Prof Yr 4","47","3.710","59.6","21.3","17.0","2.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Professionals","48","3.714","60.4","20.8","16.7","2.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","","Dept. Total
53","3.732","64.2","18.9","15.1","1.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
