"","963
042","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Cardiac Surg Clerkship-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","",""
"Thoracic Surgery Clerk-CSC","964
043","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Urology Clerkship-CSC","967
007","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"SURGERY
936","Dept. Total","179","3.533","58.1","14.0","22.3","",".","",".","",".","",".","3.4","",".",".","",".","",".","1.1",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","20","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","23","3.981","87.0","4.3",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","8.7","."
"Undergraduates","","45","3.991","93.3","2.2",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","4.4","."
"Prof Yr 2","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","62","3.300","21.0","16.1","59.7","",".","",".","",".","",".",".","",".",".","",".","",".","3.2",".",".","."
"Prof Yr 4","","68","3.814","70.6","20.6","4.4","",".","",".","",".","",".","4.4","",".",".","",".","",".",".",".",".","."
"Professionals","","134","3.463","46.3","17.9","29.9","",".","",".","",".","",".","4.5","",".",".","",".","",".","1.5",".",".","."
"","Dept. Total","179","3.533","58.1","14.0","22.3","",".","",".","",".","",".","3.4","",".",".","",".","",".","1.1",".","1.1","."
