"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"706
Nursing Research","001","","25","3.780","68.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Adv Prac Nursing Thry: Adults","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","020","","17","3.618","41.2","52.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"726","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"726","060","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract I","Course Total","","35","3.757","60.0","37.1",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"728","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","060","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev I","Course Total","","35","3.969","91.4","5.7",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"741
Adv Prac Nrsg Thry-Famly&Child","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Adv Prac Nrsg Thry-Psychiatric","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"772
Leadership&Org Decision-Making","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Nursing Education Practicum","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Advanced Qualitative Design","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"805
Measurement in Health Research","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Advanced Pathophysiology","001","","27","3.722","48.1","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Knowledge Developmt in Nursing","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Proseminar in Nursing Research","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"826","020","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","060","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","33","3.940","87.9","6.1","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"906","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","27","",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","29","",".",".",".",".",".",".",".","96.6","3.4",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
