"","706
001","177","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","Section Total","178","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Integrated Cardiovascular Sys","Course Total","178","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Integrated Respiratory System","715
001","173","3.379","31.8","22.0","38.2","6.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","355","3.386","16.6","10.7","18.6","3.1","0.8",".",".",".",".",".",".",".",".",".","50.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Junior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Prof Yr 2","","342","3.385","16.1","11.1","18.4","3.2","0.9",".",".",".",".",".",".",".",".",".","50.3","."
"Prof Yr 3","","7","3.000",".",".","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","350","3.380","16.0","10.9","18.9","3.1","0.9",".",".",".",".",".",".",".",".",".","50.3","."
"","Dept. Total","355","3.386","16.6","10.7","18.6","3.1","0.8",".",".",".",".",".",".",".",".",".","50.1","."
