"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","223","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"813","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","010","","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","19","3.820","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
