"699
Independent Study","040
4","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","008
1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","010
1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Rehabilitatn Med Clerk-CSC","Course Total
2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"RHAB MED
840","6
Dept. Total","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
6","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
