"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.986","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Practicum-Genetic Counselng","005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Clinical Genetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Lit Search Strategies&Analysis","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Interviewing and Counseling","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"744
Biochm Genetics for Counselors","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","20","3.425","40.0","10.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","19","3.417","31.6","15.8","47.4",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"812","063","","25","3.400","28.0","24.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","69","3.433","34.8","15.9","44.9","1.4",".",".",".",".",".",".",".",".","2.9",".",".","."
"813
Adv Pract-Genetic Counselng","005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"938","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"938","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
