"Greek & Roman Med & Phcy","","","","","","","","","","","","","","","","","","","","","","",""
"Ind Study in Med History","699","001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Grad Studies in Med Ethics","734","001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999","001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
452","","Dept. Total","161","3.476","32.3","41.6","16.1","5.0","1.2","",".","0.6","1.2","0.6",".","",".","",".","0.6",".","0.6","."
"Summary by Level","","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.571","28.6","57.1","14.3",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","","32","3.489","21.9","56.3","21.9",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Junior","","","28","3.400","25.0","46.4","21.4","3.6","3.6","",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","","","67","3.431","32.8","38.8","14.9","7.5","1.5","",".","1.5","1.5",".",".","",".","",".","1.5",".",".","."
"Undergraduates","","","134","3.447","28.4","45.5","17.9","4.5","1.5","",".","0.7","0.7",".",".","",".","",".","0.7",".",".","."
"Special","","","8","3.538","37.5","12.5",".","12.5",".","",".",".","12.5","12.5",".","",".","",".",".",".","12.5","."
"Graduate","","","16","3.766","56.3","31.3","12.5",".",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
