"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"962","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"963","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiac Surg Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"964
Thoracic Surgery Clerk-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967
Urology Clerkship-CSC","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SURGERY
936","Dept. Total","","179","3.533","58.1","14.0","22.3",".",".",".",".","3.4",".",".",".",".","1.1",".","1.1","."
