"TERM : 1162","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2015-2016","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","","Section
#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","","","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","205
Dept. Total","3.674","68.8","11.7","15.6","0.5","",".","",".","",".","2.0","",".",".","",".","0.5","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
