"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Indust Struct&Comptitv Stratgy","458","001","40","3.588","52.5","22.5","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","113","2.914","15.0","14.2","33.6","16.8","14.2","2.7","0.9",".",".",".",".",".","0.9","1.8",".","."
"Intl Industrial Organizations","467","001","40","2.975","22.5","20.0","30.0","10.0","10.0","2.5","5.0",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","52","3.203","25.0","28.8","19.2","15.4","9.6",".",".",".",".",".",".",".",".",".","1.9","."
"Law and Economics","522","001","126","3.087","23.0","11.9","41.3","13.5","7.1","3.2",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","8","3.500","12.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".","25.0","."
"Quant Mthds-Ag & Appl Econ","526","001","6","3.750","50.0",".","16.7",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"Economics of Health Care","548","001","33","3.391","21.2","39.4","30.3","6.1",".",".",".",".",".",".",".",".",".",".","3.0","."
"Honors Thesis","581","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population Economics","623","001","28","3.204","28.6","25.0","14.3","14.3","14.3",".",".",".",".",".",".",".",".","3.6",".","."
"Directed Study","698","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Mathematics for Economists","700","001","86","3.459","32.6","33.7","29.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","86","3.756","61.6","30.2","7.0",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","54","3.864","72.2","22.2","1.9",".",".",".",".","1.9",".",".",".",".","1.9",".",".","."
"Econometrics I","704","001","88","3.722","56.8","33.0","8.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","72","3.662","44.4","41.7","12.5",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Econ Stats & Econometrics I","709","001","69","3.363","23.2","33.3","37.7","2.9","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Thry: Microeconomics Seqnce","711","001","74","3.349","25.7","23.0","45.9","2.7","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Thry: Macroeconomics Seqnce","712","001","68","3.529","36.8","32.4","30.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Labor Economics","750","001","15","3.538","40.0","26.7","13.3",".","6.7",".",".",".",".",".",".",".","13.3",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","001","7","3.818","42.9",".","14.3",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","899","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","003","22","3.895","68.2","18.2",".",".",".",".",".",".",".",".",".",".","13.6",".",".","."
"Recent Advances-Economics","","Course Total","47","3.934","76.6","8.5","2.1",".",".",".",".","6.4",".",".",".",".","6.4",".",".","."
"Wrkshp in Math Econ Theory","901","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","20","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"Workshop in Econometrics","913","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
