"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Found. Infant Mental Health","001","","32","4.000","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","96.9","."
"713
Reflective Practices in IMH I","001","","32","4.000","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","96.9","."
"714
ACP Consultation II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","17","3.412","35.3","17.6","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","17","3.412","35.3","17.6","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","18","3.333","27.8","16.7","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","13","3.385","30.8","15.4","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","75","3.380","30.7","18.7","46.7","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Psychiat Clrk-VAH","Course Total","","3","***","","","","","","","","","","","","","","","",""
