"MEDICAL SCIENCES - MED SCH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","",""
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"706","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"706","001","","177","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","Section Total","","178","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Integrated Cardiovascular Sys","Course Total","","178","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"715
Integrated Respiratory System","001","","173","3.379","31.8","22.0","38.2","6.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","","355","3.386","16.6","10.7","18.6","3.1","0.8",".",".",".",".",".",".",".",".",".","50.1","."
