"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","159","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","26","3.967","84.6","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","3.8","."
