"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","24","3.729","66.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"306","001","","10","2.800","10.0","10.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"306","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","13","2.923","15.4","15.4","23.1","30.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"420","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","7","3.000","28.6","14.3","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","003","","19","3.694","36.8","57.9",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","31","3.607","48.4","41.9","3.2",".",".","3.2",".",".",".",".",".",".","3.2",".",".","."
"671
Energy Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Land Use Controls","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Func, Spatial Org&Envr Form","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"917
Pub Participatn-Plan&Pol Makng","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Smr-Land Probs:Institnl Dev","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Smr-Land Use&Community Dev","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
