"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","16","3.300",".","62.5","25.0","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Hip-Hop and Cont Am Society","154","001","277","3.807","66.4","28.2","3.2","0.7","0.4",".",".",".",".",".",".",".","0.7","0.4",".","."
"Black Music&Am Cultrl Hist","156","001","193","3.694","49.7","30.6","8.3","1.0","0.5","0.5",".","8.8",".",".",".",".",".","0.5",".","."
"Masterpieces of Afro Amer Lit","227","001","28","3.839","85.7","3.6","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","90","3.815","78.9","11.1","6.7","1.1",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","101","3.295","42.6","24.8","14.9","5.9","3.0","4.0","4.0","1.0",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","42","3.563","40.5","31.0","19.0","4.8",".",".",".",".",".",".",".",".",".",".","4.8","."
"Latin America-Introduction","260","001","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","271","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","005","89","3.927","82.0","6.7","3.4",".",".",".",".","1.1",".",".",".",".",".","1.1","5.6","."
"Topics in African Amer Culture","","Course Total","100","3.935","84.0","6.0","3.0",".",".",".",".","1.0",".",".",".",".",".","1.0","5.0","."
"Race&Am Pol:New Deal-New Right","272","001","29","3.796","62.1","24.1","6.9",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","9","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","11","2.818","27.3",".","36.4","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","25","3.167","12.0","52.0","12.0",".",".",".","8.0","12.0",".",".",".",".","4.0",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","18","3.059","11.1","33.3","33.3","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","7","3.429","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","8","3.429","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Race, Amer Med & Pub Health","523","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","11","3.300","18.2","54.5","9.1",".",".","9.1",".",".",".",".",".",".","9.1",".",".","."
"Perspctv-Black Women Writng","677","001","10","3.375","30.0","20.0","20.0",".","10.0",".",".","10.0",".",".",".",".","10.0",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","790","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Hist,Thry &Meth in Visual Cult","801","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vis Cult: Topics in Vis Cult","802","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
