"MED","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","",""
"","699
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurg-Directed Study","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEURSURG
678","Dept. Total","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
