"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"710
Multiculturl Issues-Special Ed","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"721
Addictions Counseling","001","","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Legal&Ethical Bases - Coun&Psy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Rehab Cnsl Psych-Clin Prac","089","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Research in Spec Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940
Rehab Cnsl Psych-Supv Rsch","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"983
Smr:Profsnl Issues-RehabPsy","001","","11","3.944","72.7","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".",".","."
"985
Indv/Disblty:Adv Rsch Mthds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","16","",".",".",".",".",".",".",".","56.3","6.3",".",".","37.5",".",".",".","."
"999
Independent Reading","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
