"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","143","3.199","14.7","39.2","24.5","9.1","8.4",".","0.7","2.8",".",".",".",".",".","0.7",".","."
"Amer Hist-Civil War-Present","102
001","114","3.514","45.6","21.1","14.9","8.8","3.5",".",".","3.5",".",".",".",".",".","1.8","0.9","."
"Intro-History of Africa","105
001","52","3.786","65.4","21.2","5.8",".","1.9",".",".",".",".",".",".",".",".","5.8",".","."
"","108
001","18","3.941","83.3","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","108
002","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to E Asian Hist - Korea","Course Total","27","3.846","66.7","29.6",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115
001","73","3.669","46.6","23.3","5.5","2.7","2.7",".",".",".",".",".",".",".",".","1.4","17.8","."
"Modern Europe 1500-1815","119
001","56","3.053","7.1","16.1","28.6","12.5","1.8","1.8",".","32.1",".",".",".",".",".",".",".","."
"Intro to World History","130
001","126","3.450","41.3","21.4","21.4","6.3","2.4","0.8","0.8","4.8",".",".",".",".",".",".",".","0.8"
"Women in World History","001
134","21","3.500","47.6","28.6","14.3",".",".",".","4.8",".",".",".",".",".",".",".","4.8","."
"AsianAm His:Settlmnt&Belonging","161
001","57","3.652","70.2","12.3","7.0","3.5","1.8","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Historical Studies","200
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","22","3.595","40.9","36.4","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"","201
003","42","3.321","19.0","50.0","19.0","9.5",".",".","2.4",".",".",".",".",".",".",".",".","."
"","004
201","33","3.455","42.4","33.3","15.2","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"","201
005","42","3.575","71.4","7.1","4.8","2.4","4.8",".","4.8",".",".",".",".",".","4.8",".",".","."
"","201
006","33","3.742","54.5","39.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","13","3.423","53.8","15.4","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","197","3.521","45.7","32.5","12.2","4.1","1.5","0.5","2.0",".",".",".",".",".","1.5",".",".","."
"Jews and American Pop. Culture","213
001","36","3.359","33.3","27.8","13.9","8.3","2.8",".","2.8","8.3",".",".",".",".","2.8",".",".","."
"","001
229","37","3.029","10.8","18.9","43.2","13.5","2.7",".","2.7","8.1",".",".",".",".",".",".",".","."
"","229
002","44","2.989","13.6","31.8","20.5","20.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"","003
229","7","3.167","28.6",".","28.6","28.6",".",".",".",".",".",".",".",".","14.3",".",".","."
"","229
004","25","3.563","32.0","48.0","12.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Transnational/Comp Hstry (Hum)","Course Total","113","3.139","17.7","29.2","26.5","15.0","4.4","0.9","1.8","2.7",".",".",".",".","1.8",".",".","."
"SE Asian Refugees of Cold War","001
246","49","3.333","26.5","32.7","14.3","4.1","6.1",".","2.0","12.2",".",".",".",".",".",".","2.0","."
"Civs of India-Modern Period","252
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","29","3.500","41.4","24.1","13.8","3.4","6.9",".",".",".",".",".",".",".",".",".","10.3","."
"American Legal History to Pres","262
001","27","3.658","37.0","22.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".","29.6","."
"Chinese Migrations since 1500","276
001","14","3.654","50.0","35.7",".",".","7.1",".",".",".",".",".",".",".",".","7.1",".","."
"Africa: Introductory Survey","277
001","14","3.192","14.3","35.7","35.7",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Africans in Americas 1492-1808","278
001","41","3.000","14.6","24.4","26.8","24.4","7.3",".","2.4",".",".",".",".",".",".",".",".","."
"","283
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
283","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","283
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","283
004","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","Course Total","26","3.760","61.5","23.1","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"The US Since 1945","306
001","67","3.633","50.7","22.4","13.4","1.5",".",".","1.5","10.4",".",".",".",".",".",".",".","."
"A History of Rome","307
001","117","3.630","46.2","30.8","6.8","2.6","1.7",".","0.9","10.3",".",".",".",".","0.9",".",".","."
"Introduction to Buddhism","308
001","27","3.240","37.0","18.5","11.1","18.5","3.7",".","3.7","7.4",".",".",".",".",".",".",".","."
