"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","54","2.942","16.7","22.2","16.7","22.2","14.8","3.7",".","3.7",".",".",".",".",".",".",".","."
"Pharm Practice Experience II","426
001","148","3.953","93.2","5.4","0.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","490
003","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
006","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
008","41","3.817","85.4","7.3","2.4",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","490
010","25","3.652","56.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".","8.0",".",".","."
"","490
011","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
013","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","182","3.916","86.8","7.1","2.7","1.1","0.5","0.5",".",".",".",".",".",".","1.1",".",".","."
"Intro-Phm Prac Experience IV","526
056","148","3.997","99.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554
001","146","3.620","40.4","45.9","11.6","1.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","147","3.085","15.0","25.2","32.0","17.7","10.2",".",".",".",".",".",".",".",".",".",".","."
"Intro: Antimicrobial Therapy","559
001","82","3.726","54.9","35.4","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","147","3.425","26.5","43.5","21.1","6.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626
056","123","3.963","95.9","0.8","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650
001","113","3.258","19.5","24.8","19.5","10.6","3.5",".","0.9","21.2",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654
001","124","3.569","32.3","49.2","16.9","0.8",".",".",".",".",".",".",".",".",".",".","0.8","."
"Pharmacotherapy IV","656
001","125","2.872","8.8","20.0","36.0","16.8","16.0",".","2.4",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657
001","24","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
087","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","710
001","15","3.607","40.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","740
005","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","38","3.842","76.3","15.8","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
005","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 409 of 422",""
