"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"Women's Health in Primary Care","Course Total","","2","***","","","","","","","","","","","","","","","",""
"933
Geriatric Elective","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology/Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"938","041","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","042","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","043","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","044","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Internship - Inpt-Med","Course Total","","49","3.673","40.8","53.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy & Clinical Immunology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Clin Electrophys-Milwaukee","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiology Consultation Serv","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"945","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Care Med Cardiol-Milw","Course Total","","4","***","","","","","","","","","","","","","","","",""
"951","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatory Cardiology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"953","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 363 of 422",""
