"POPULATION HEALTH SCIENCE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect","370","001","410","3.649","52.4","30.7","11.7","4.1","0.5","0.2",".",".",".",".",".",".","0.2",".",".","."
"Intro-Environmental Health","471","001","70","3.543","38.6","32.9","24.3","2.9",".",".",".","1.4",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","12","3.455","25.0","33.3","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Clinicl&Pub Hlth Microbiol","603","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","23","4.000","52.2",".",".",".",".",".",".",".",".",".",".",".","4.3",".","43.5","."
"","644","003","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","644","004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","","Course Total","33","4.000","97.0",".",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","650","080","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","081","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","083","16","3.500","25.0","43.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","36","3.700","66.7","19.4","11.1",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","699","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699","054","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Intro to Community Engagement","715","001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","740","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Sys, Mngmnt, & Policy","785","001","65","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social & Behav Sci-Public Hlth","786","001","63","3.929","88.9","7.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","001","57","4.000","98.2",".",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Public Health Field Experience","788","001","13","3.932","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Health","789","001","53","3.906","84.9","11.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Health Services Research","796","001","18","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods","798","001","20","3.500","45.0","20.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease","801","001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology","806","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess-Medical Technologies","875","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measuring Health Outcomes","876","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Health Genomics","888","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","915","004","7","3.333",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","915","050","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
