"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","3.984","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Infant Mental Health Practice","001","","31","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"716
Reflective Practices IMH II","001","","31","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"812","041","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","18","3.412","22.2","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"812","044","","19","3.421","31.6","21.1","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","60","3.432","26.7","31.7","40.0",".",".",".",".",".",".",".",".",".",".",".","1.7","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921
Behav Med Clerk-LaCrosse","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"946","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
