"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"American Economy Since 1865","466","001","36","3.258","22.2","25.0","33.3",".","11.1",".",".",".",".",".",".",".",".",".","8.3","."
"Indus Organizat/Imperf Comp","468","001","48","3.281","33.3","22.9","29.2","4.2","6.3","4.2",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","28","3.161","21.4","42.9","7.1","17.9","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","34","3.368","35.3","26.5","20.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","43","3.132","23.3","23.3","20.9","18.6","11.6",".",".",".",".",".",".",".",".",".","2.3","."
"Law and Economics","522","001","115","3.121","18.3","22.6","39.1","7.0","12.2","0.9",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","11","3.400","36.4","27.3",".","27.3",".",".",".","9.1",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","19","3.474","21.1","57.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Population Economics","623","001","36","3.214","25.0","27.8","22.2","8.3","13.9",".",".",".",".",".",".",".","2.8",".",".","."
"Issues-International Finance","666","001","17","3.412","52.9","17.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","8","3.375","50.0","12.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Macroeconomics I","702","001","99","3.525","30.3","46.5","22.2",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","105","3.495","30.5","38.1","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","708","001","106","3.939","88.7","10.4","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","47","3.496","21.3","55.3","21.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","37","3.111","16.2","13.5","56.8","8.1",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","27","3.352","29.6","29.6","25.9","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Industrial Organizat Theory","761","001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Workshop in Econometrics","914","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
