"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Nursing Profession","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"105
Health Care: Intrdis Appr","001","","131","3.950","91.6","7.6",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"302","001","","132","3.981","97.0","2.3","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"302","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","","143","3.983","97.2","2.1","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"312
Hum Response-Hlth & Illness II","001","","149","3.487","20.8","55.7","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"319
Nurs Care-Inpatient Setting","001","","150","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"322
Community Health Nursing","001","","74","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Fam-cent Perinatl&Ped Nrsng","001","","149","3.846","75.2","19.5","4.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"401
Legal&Social Forces-Nursing","001","","151","3.556","29.8","54.3","13.9","1.3","0.7",".",".",".",".",".",".",".",".",".",".","."
"415
Org Influence-Interdis Prac","001","","151","3.960","96.0","2.6","0.7",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"419","001","","64","3.961","95.3","1.6","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"419","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","","72","3.965","95.8","1.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"422
Adv Concepts-Nurs Practice","001","","77","3.279","10.4","44.2","39.0","3.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"449
Persons&Family/Complx Needs","001","","77","3.922","88.3","7.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"470","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"470","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"470","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","7","3.469","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Culturally Congruent Practice","001","","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Digital Health","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","002","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","005","","25","3.930","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"590","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","","63","3.956","96.8","1.6",".","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Phrmcotherpeut-Adv Prac Nurses","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 402 of 422",""
