"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","699
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","","36","3.987","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","49","3.950","95.9","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","812
041","","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","13","3.542","38.5","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","812
043","","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","17","3.382","23.5","29.4","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","60","3.458","28.3","33.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Indep Rdg & Rsch-4th Yr Med","910
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol Clerk-Marshfld","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","111","3.620","59.5","18.9","19.8","0.9",".",".",".",".",".",".",".",".",".",".",".","0.9"
