"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Soc-Cult of Phys Act","355","001","","27","3.648","48.1","37.0","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","34","3.941","91.2","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","44","3.409","43.2","27.3","15.9","4.5","6.8",".","2.3",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plan, Teach & Assess Phys Ed","370","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mthds of Tchng Games & Fitness","372","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Phys Ed","375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","050","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","24","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","450","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","","Course Total","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","475","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","50","3.830","76.0","16.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","35","3.700","60.0","25.7","8.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","11","3.136","27.3","9.1","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","32","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","22","3.591","54.5","27.3","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Internship in Kinesiology","690","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metab Respns-Exercis&Stress","774","001","","24","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
