"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
001","","8","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
812","","9","3.222",".","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","10","3.556","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","812
005","","11","3.273","27.3","9.1","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","11","3.227","9.1","27.3","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","9","3.278","22.2","11.1","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
812","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","81","3.344","18.5","33.3","44.4","2.5",".",".",".",".",".",".",".",".",".",".","1.2","."
"","919
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
007","","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","10","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","920
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
009","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
010","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Anesthesiology","950
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
