"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Social Psychology","","Course Total","","35","2.697","14.3","17.1","14.3","17.1","17.1","17.1",".",".",".",".",".",".","2.9",".",".","."
"Talk and Social Interaction","535","001","","19","2.974","15.8","26.3","26.3","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573","001","","20","3.706","55.0","15.0","10.0","5.0",".",".",".","5.0",".",".",".",".","10.0",".",".","."
"Gender, Science & Technology","611","001","","8","3.400","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","","18","3.750","61.1","16.7","5.6","5.6",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Sociology of Law","641","001","","19","3.583","47.4","26.3","15.8",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Sociology of Education","648","001","","17","3.813","64.7","23.5","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Sociol-Economic Institutions","652","001","","9","3.438","33.3","33.3",".","22.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","670","001","","12","3.500","41.7","25.0","16.7",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Appl Demogrphy-Planning&Policy","676","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"EmethodologyConvAnalysis","735","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Demographic Techniques II","756","001","","23","3.881","73.9","13.0","4.3",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Intermediate Classical Theory","773","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","15","3.870","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","21","3.894","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","901","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender","904","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Sociology of Education","908","001","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Teaching Sociology","910","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Political Sociology","924","001","","15","4.000","33.3",".",".",".",".",".",".","6.7",".",".",".",".","60.0",".",".","."
"Math&Stat Applications-Soc","952","003","","12","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","955","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","955","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","955","003","","20","3.895","85.0",".","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","","Course Total","","35","3.941","91.4",".","5.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","971","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","971","002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Topics-Demography&Ecol","","Course Total","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research: Economic Sociology","983","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Sociol of Gender Trainees","984","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 316 of 422",""
