"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"542
Veterinary Ophthalmology","001","","88","3.426","42.0","21.6","22.7","6.8","6.8",".",".",".",".",".",".",".",".",".",".","."
"544
Surgery Fundamentals","001","","84","3.837","73.8","17.9","7.1",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"547
Fundamentals of Anesthesiology","001","","84","3.411","34.5","21.4","38.1","3.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","88","3.057","21.6","25.0","26.1","9.1","12.5","5.7",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","88","",".",".",".",".",".",".",".","90.9",".",".",".",".","9.1",".",".","."
"634
Small Animal Anesthesia Lab","001","","88","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642","001","","36","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"642","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","41","4.000","22.0",".",".",".",".",".",".","78.0",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","14","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"645","001","","43","4.000","44.2",".",".",".",".",".",".","53.5",".",".",".",".",".",".","2.3","."
"645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","46","4.000","43.5",".",".",".",".",".",".","54.3",".",".",".",".",".",".","2.2","."
"646
Veterinary Anesthesiology","001","","28","4.000","25.0",".",".",".",".",".",".","71.4",".",".",".",".","3.6",".",".","."
"647
Radiology Clinics","001","","16","4.000","18.8",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","."
"675","001","","14","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"675","004","","51","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"675","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","010","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","115","4.000","59.1",".",".",".",".",".",".","40.9",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","88","3.415","34.1","25.0","35.2","1.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","59","4.000","84.7",".",".",".",".",".",".","15.3",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","33","4.000","57.6",".",".",".",".",".",".","42.4",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Food Animal Surgery","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
