"Development of Pub Health-Amer","709","001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Ethical Issues in Medicine","730","001","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999","007","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
452","","Dept. Total","321","3.556","45.2","33.0","13.4","3.7","0.9","0.3","0.6","0.3","",".",".","",".","",".","0.6",".","1.9","."
"Summary by Level","","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","17","2.794","11.8","17.6","35.3","23.5",".","5.9","5.9",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","51","3.471","31.4","41.2","17.6","9.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","49","3.448","34.7","40.8","14.3","2.0","4.1",".","2.0",".","",".",".","",".","",".","2.0",".",".","."
"Senior","","","167","3.659","49.1","36.5","12.0","1.2","0.6",".",".",".","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","","","284","3.534","41.2","37.0","14.8","4.2","1.1","0.4","0.7",".","",".",".","",".","",".","0.7",".",".","."
"Special","","","8","4.000","12.5",".",".",".",".",".",".","12.5","",".",".","",".","",".",".",".","75.0","."
"Graduate","","","11","3.845","81.8","9.1","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
