"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","64","2.706","14.1","4.7","29.7","15.6","31.3","3.1",".","1.6",".",".",".",".",".",".",".","."
"","100","002","77","2.986","24.7","7.8","27.3","10.4","24.7",".",".","3.9",".",".",".",".",".",".",".","1.3"
"General Anthropology","","Course Total","141","2.857","19.9","6.4","28.4","12.8","27.7","1.4",".","2.8",".",".",".",".",".",".",".","0.7"
"Archaeology & Prehist World","102","001","92","2.847","21.7","8.7","16.3","17.4","25.0","3.3",".","2.2",".",".",".",".",".","5.4",".","."
"","104","001","379","3.650","62.3","22.2","7.7","3.4","2.6","1.6","0.3",".",".",".",".",".",".",".",".","."
"","104","002","418","3.691","63.6","23.7","7.7","2.2","1.2","1.0","0.7",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","797","3.672","63.0","23.0","7.7","2.8","1.9","1.3","0.5",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","315","3.300","34.0","30.2","16.8","8.9","4.1","4.4","0.6",".",".",".",".",".",".",".",".","1.0"
"Principles of Archaeology","212","001","37","3.149","10.8","35.1","43.2","5.4","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Caribbean Music and Culture","237","001","26","3.292","26.9","34.6","15.4","3.8","7.7","3.8",".","7.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","21","3.357","33.3","38.1","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","3.000","27.3",".","54.5",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","41","3.559","53.7","17.1","2.4","2.4","2.4","2.4","2.4","14.6",".",".",".",".","2.4",".",".","."
"Topics in Ethnology","330","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Prehistory of Africa","333","001","10","2.950","30.0","20.0","10.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Family,Kin&Community-Anthro","345","001","14","3.393","35.7","28.6","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Economic Anthropology","348","001","13","3.489","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","357","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","14","2.857","28.6","14.3","14.3",".","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","40","3.000","20.0","22.5","15.0","22.5","10.0","5.0",".",".",".",".",".",".",".","5.0",".","."
"","490","001","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","37","3.838","78.4","13.5","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Psychological Anthropology","545","001","17","3.567","41.2","23.5","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","22","3.733","59.1","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Anthropological Theory","900","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 169 of 422",""
