"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Hematology System","703
001","177","3.377","28.8","22.0","44.1","2.8","1.1",".",".",".",".",".",".",".",".",".","1.1","."
"Integ Gastro & Hepatic Systms","707
001","176","3.449","33.5","26.1","38.1","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Endocrinology&Reproductive Hth","711
001","176","3.352","30.1","19.3","46.0","2.3","1.7",".","0.6",".",".",".",".",".",".",".",".","."
"Integrated Musculoskeletal Sys","728
001","177","3.401","34.5","19.2","40.1","4.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Integrated Neurosciences","729
001","179","3.439","36.9","21.2","37.4","1.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Overview of Rural Health","740
001","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Persuasion: Cnvying Hlth Info","747
081","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Foundations of Medicine 3","001
757","178","3.438","33.7","24.7","38.2","0.6","2.2",".",".",".",".",".",".",".",".",".","0.6","."
"Foundations of Medicine 4","759
001","178","3.539","45.5","20.2","31.5","2.2","0.6",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","180","3.914","84.4","13.9","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Prep Course","909
009","171","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"MEDiC Selective","910
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1664","3.489","35.1","17.8","29.5","1.6","1.2",".","0.1","11.6",".","2.9",".",".",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Senior","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 1","","44","",".",".",".",".",".",".",".","34.1",".","65.9",".",".",".",".",".","."
"Prof Yr 2","","1395","3.503","41.5","20.9","33.3","1.7","1.1",".","0.1","0.6",".","0.4",".",".",".",".","0.2","."
"Prof Yr 3","","46","3.042","10.9","8.7","56.5","6.5","8.7",".",".","2.2",".","6.5",".",".",".",".",".","."
"Prof Yr 4","","170","",".",".",".",".",".",".",".","98.8",".","1.2",".",".",".",".",".","."
"Professionals","","1655","3.489","35.3","17.9","29.7","1.6","1.2",".","0.1","11.7",".","2.4",".",".",".",".","0.2","."
"","Dept. Total","1664","3.489","35.1","17.8","29.5","1.6","1.2",".","0.1","11.6",".","2.9",".",".",".",".","0.2","."
