"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","213","3.061","35.2","8.5","25.8","7.5","16.0","6.1","0.5",".",".",".",".",".",".",".",".","0.5"
"","365
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","44","3.273","34.1","27.3","18.2","13.6","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645
001","46","3.283","34.8","21.7","28.3","8.7","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655
001","58","3.267","27.6","25.9","25.9","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","37","3.797","62.2","35.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
030","54","3.463","24.1","44.4","31.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","999
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","488","3.260","38.3","19.1","22.3","7.0","8.2","3.1","0.6","0.8",".",".",".","0.4",".",".",".","0.2"
