"TERM : 1174","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2016-2017","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"745","PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"745","PHY THER","567
Dept. Total","3.725","44.6","21.7","3.9","",".","",".","",".","",".","",".","",".","27.7","",".","",".","1.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"745","PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
