"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof","306
001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","407
003","","12","3.333","50.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Chronic Care Management","441
003","","12","3.417","33.3","41.7",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Evidence Base Pract","446
003","","12","3.250","16.7","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","447
003","","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","453
003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","454
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
022","","15","3.233","20.0","13.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","490
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","24","3.500","45.8","12.5","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","98","3.543","53.1","20.4","16.3","7.1","1.0",".","2.0",".",".",".",".",".",".",".",".","."
