"","COMMUNICATION SCI & DISORD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","86","3.762","65.1","24.4","8.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","52","3.596","65.4","19.2","1.9","7.7","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","70","3.729","68.6","17.1","11.4",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","126","3.604","62.7","16.7","9.5","3.2","4.8","2.4",".","0.8",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","32","3.563","50.0","28.1","15.6","3.1",".","3.1",".",".",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","136","3.897","84.6","11.0","3.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","87","3.816","77.0","16.1","4.6",".","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","101","3.827","80.2","13.9","2.0","3.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","75","3.953","94.7","1.3","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","13","3.905","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","47","3.962","89.4","10.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis","709","001","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis","752","001","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","790","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","007","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","50","3.930","96.0",".","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Independent Study","799","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 196 of 422",""
