"PHYSICAL THERAPY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of PT Intervention","534
001","","40","3.638","32.5","62.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Aspects of Hlth Care","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Practice Issues in PT","543
001","","39","3.948","69.2","2.6","2.6",".",".",".",".",".",".",".",".",".","25.6",".",".","."
"Cl Decision Mkng:Neuromus Mech","628
001","","40","3.613","37.5","47.5","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction II","636
001","","39","3.692","43.6","51.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","","40","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Practicum","642
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss in Rehab Rsch II","643
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Medicine II","665
001","","40","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction II","677
001","","39","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship I","700
001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship V","704
001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship VI","705
001","","40","",".",".",".",".",".",".",".",".",".","95.0",".",".",".",".",".","."
"","799
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
008","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","51","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
