"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","34","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","58","3.447","27.6","41.4","20.7","8.6",".",".",".","1.7",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","65","3.000","4.6","30.8","40.0","18.5","3.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Directed Study","299
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
401","12","3.923","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","14","3.883","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","15","3.930","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","401
201","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","126","3.952","92.9","5.6","0.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","442
010","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
020","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","114","3.677","53.5","30.7","11.4","3.5",".",".",".","0.9",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","8","3.438","25.0","62.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","76","3.414","42.1","25.0","17.1","10.5","3.9",".","1.3",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","13","3.308","38.5","46.2",".",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","55","3.591","41.8","41.8","9.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
612","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","33","3.563","42.4","27.3","24.2","3.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","25","3.600","24.0","72.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","26","3.712","50.0","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
640","24","3.604","29.2","62.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","640
020","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","117","3.718","52.1","40.2","6.8","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Delinquency","643
001","24","3.976","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
030","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","Course Total","56","3.992","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"End-of-Life Pract. Challenges","648
001","26","3.664","50.0","42.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","77","3.364","31.2","37.7","16.9","9.1","1.3","3.9",".",".",".",".",".",".",".",".",".","."
