"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"Acting Inpt Internship-Peds","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"943
Pediat Cardiol Clerk-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","206","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","207","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
