"PHYSICIAN ASSISTANT PROGRA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","",""
"602
001
Clinical Medicine II","52","3.635","38.5","50.0","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
001
Pediatrics","47","3.532","29.8","48.9","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"611
001
Clin Prev & Community Prac II","83","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"618
001","47","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"618
002","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Professional Seminar III","78","",".",".",".",".",".",".",".",".",".","98.7",".",".",".",".",".","."
"621
001
Adv Patient Eval-Prim Care II","47","3.967","91.5","6.4",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"641
001
Clinical Pharmacology II","52","3.481","28.8","44.2","21.2","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"648
001
Emergency Medicine","47","3.457","27.7","40.4","27.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"651
001
Diagnostic Methods II","52","3.667","46.2","38.5","13.5",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"660
001
Clinical Skills Laboratory","47","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"699
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
002","7","3.389",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Study","20","3.750","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"718
001","46","",".",".",".",".",".",".",".",".",".","95.7",".",".",".",".",".","."
"718
002","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Profess'l Smnr & Capstone II","77","",".",".",".",".",".",".",".",".",".","97.4",".",".",".",".",".","."
"729
001
Phy Asst Preceptor: Surgery","14","3.731","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"739
001
Phy Asst Precptrshp: Fam Med","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
001
Phy Asst Precptrshp: Int Med","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"759
001
Phys Asst Precptrshp: Emrg Med","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"769
001
Phy Asst Preceptorship:Electve","45","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
Dept. Total
750","694","3.713","29.5","20.7","7.3","0.9",".",".",".",".",".","40.5",".",".","0.4",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","507","3.596","24.5","21.5","8.5","1.2",".",".",".",".",".","43.6",".",".","0.4",".",".","."
"Prof Yr 2","138","3.830","45.7","18.1","2.2",".",".",".",".",".",".","31.9",".",".","0.7",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","25.0",".",".",".",".",".","."
"Prof Yr 4","45","3.694","33.3","22.2","11.1",".",".",".",".",".",".","33.3",".",".",".",".",".","."
"Professionals","694","3.713","29.5","20.7","7.3","0.9",".",".",".",".",".","40.5",".",".","0.4",".",".","."
"Dept. Total","694","3.713","29.5","20.7","7.3","0.9",".",".",".",".",".","40.5",".",".","0.4",".",".","."
