"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","191","3.542","55.5","20.4","11.0","6.8","3.7","1.6","0.5",".",".",".",".",".","0.5",".",".","."
"421
Intro to PD and PK","001","","149","2.916","12.8","16.1","34.2","18.1","17.4","1.3",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","161","3.425","42.2","16.1","29.8","8.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","151","3.805","74.2","15.9","7.3","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","147","3.466","43.5","28.6","10.9","11.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","148","3.230","25.7","25.7","33.8","8.1","3.4","2.0","1.4",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"766
Molecular Recognition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","13","3.500","15.4","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"891
Chem-Biology Interface II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 406 of 422",""
